Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22,Instruction_23
Pearl Button,N/A,N/A,Collins Glass,N/A,Cachaca (Brazilian Rum),2 oz,Lillet Blanc,0.75 oz,Fresh Lime Juice,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Shake first three ingredients with ice and strain into ice-filled Collins glass.,2: Top with soda.,3: Garnish with pineapple and cherry.,,,,,,,,,,,,,,,,,,,,
Peggy Cocktail,Vermouth,N/A,Cocktail Glass,N/A,Dry Vermouth,0.75 oz,Gin,1.5 oz,Anis,0.25 oz,Dubonnet,0.25 oz,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Peruvian Wish (Adapted),Pisco,Grapefruit Peel,N/A,Bartender: Francesco Lafranconi,Barsol Pisco,1.5 oz,Luxardo Amaro Abano,0.75 oz,Luxardo Maraschino Liqueur,0.75 oz,,,,,,,,,,,,,,,,,,,,,1: Stir Ingredients In A Mixing Glass Over An Ice Sphere(If Available) Then Strain And Serve Into A Chilled Cocktail Glass Filled With The Same Ice Sphere.,2: Garnish With Lemon Balm And Grapefruit Peel.,,,,,,,,,,,,,,,,,,,,,
Peter Pumpkin,Gin,"Shaved Cinnamon, Nutmeg",N/A,"Bartender: John Weyrich, Bar: La Mar Cebicheria Peruana, Location: San Francisco",Junipero Gin,1.5 oz,Orange Liquor,0.5 oz,House-Made Spiced Pumpkin Puree,1.5 oz,Lemon Juice,0.5 oz,Ginger Syrup,0.5 oz, Egg White,1,,,,,,,,,,,,,,,"1: Combine All Ingredients In A Shaker, Except The Apple Cider.",2: Shake Vigorously.,3: Strain Over Ice.,4: Top With Apple Cider.,5: Garnish With Shaved Cinnamon And Nutmeg.,,,,,,,,,,,,,,,,,,
Petit Zinc,Vodka,N/A,Cocktail Glass,N/A,Vodka,1 oz,Triple Sec,0.5 oz,Sweet Vermouth,0.5 oz,Orange Juice,0.5 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,2: Garnish with orange.,,,,,,,,,,,,,,,,,,,,,
Phineas Flip,Rum,N/A,Highball Glass,"Bartender: Morgan Schick, Bar: Jupiter Olympus, Location: San Francisco",English Harbour Rum,2 oz,King'S Ginger Liqueur,0.75 oz,Whole Egg,1,,,,,,,,,,,,,,,,,,,,,1: Shake Vigorously.,2: Strain Into Highball Glass.,3: Top With Ale.,4: Grated Nutmeg.,,,,,,,,,,,,,,,,,,,
Phoebe Snow,Brandy,N/A,Cocktail Glass,N/A,Dubonnet,1.5 oz,Brandy,1.5 oz,Anis,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Phoebe Snow Cocktail,Brandy,N/A,Cocktail Glass,N/A,Dubonnet,1.5 oz,Old Mr. Boston Five Star Brandy,1.5 oz,Absinthe Substitute,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Pickled Martini,Vodka,N/A,Cocktail Glass,N/A,Vodka,2 oz,Dry Vermouth,0.25 oz,Sweet Pickle Brine,0.75 oz,Sweet Pickle Slice,1,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,2: Garnish with pickle.,,,,,,,,,,,,,,,,,,,,,
Pickled Pink,Vodka,N/A,Cocktail Glass,N/A,Vodka,2 oz,Aquavit,1 oz,Dill Pickle Brine,0.5 oz,Angostura Bitters,2 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,2: Garnish with dill.,,,,,,,,,,,,,,,,,,,,,
Piedra de sol,Mezcal,Lemon Peel,N/A,"Bartender: Graham Hunter Gregg, Bar: Expatriate, Location: Portland",Mezcal,1.5 oz,Montenegro Amaro Liquore Italiano,0.75 oz,Calisaya Liqueur,0.75 oz,Regans' Orange Bitters No. 6,2 dash,,,,,,,,,,,,,,,,,,,1: Stir And Garnish Lemon Peel.,,,,,,,,,,,,,,,,,,,,,,
Pike's Peak Cooler,N/A,N/A,Collins Glass,N/A,Cider,,Juice Of A Lemon,0.5 oz,Powdered Sugar,1 oz,Whole Egg,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into collins glass with cracked ice.,2: Fill with cider and stir.,3: Insert a spiral of orange or lemon peel (or both) and dangle over rim of glass.,,,,,,,,,,,,,,,,,,,,
Pina Agave,Tequila,N/A,Cocktail Glass,N/A,Cucumber,2 oz,Blanco Tequila,1.5 oz,Pineapple Juice,1 oz,Fresh Lemon Juice,0.75 oz,Agave Nectar,0.5 oz,,,,,,,,,,,,,,,,,1: Muddle 2 cucumber slices in mixing glass.,2: Add the next four ingredients.,3: Shake with ice and strain into chilled cocktail glass.,4: Top with soda and garnish with cucumber slice.,,,,,,,,,,,,,,,,,,,
Pineapple Cocktail,Rum,N/A,Cocktail Glass,N/A,Light Rum,1.5 oz,Pineapple Juice,0.75 oz,Fresh Lemon Juice,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Pineapple Express,Vodka,Grapefruit Twist,Coupe Glass,"Bartender: Jim Meehan, Bar: American Express Centurion Lounge, Location: San Francisco",Charbay Ruby Red Grapefruit Vodka,1 oz,Vya Dry Vermouth,1 oz,Hophead Vodka,0.75 oz,Small Hand Foods Pineapple Gum Syrup,0.25 oz,,,,,,,,,,,,,,,,,,,1: Stir With Ice And Strain Into A Chilled Coupe.,2: Garnish With A Grapefruit Twist.,,,,,,,,,,,,,,,,,,,,,
Pineapple Fizz,Rum,N/A,Highball Glass,N/A,Light Rum,2 oz,Pineapple Juice,1 oz,Simple Syrup,1 oz,,,,,,,,,,,,,,,,,,,,,"1: Shake rum, pineapple juice, and syrup with ice and strain into chilled highball glass over 2 ice cubes.",2: Fill with soda water and stir.,,,,,,,,,,,,,,,,,,,,,
Ping-Pong Cocktail,Gin,N/A,Cocktail Glass,N/A,Juice Of A Lemon,0.25 oz,Egg White,1 oz,Sloe Gin,2 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Pink & Black,Rum,N/A,Collins Glass,N/A,Pink Pigeon Rum,2 oz,Coca-Cola,3 oz,Lime Juice,0.5 oz,,,,,,,,,,,,,,,,,,,,,"1: Combine The Pink Pigeon, The Cola, And The Lime Juice, In A Tall Collins Glass Full Of Ice Cubes.",,,,,,,,,,,,,,,,,,,,,,
Pink & Ginger,Rum,N/A,Collins Glass,N/A,Pink Pigeon Rum,2 oz,Ginger Beer,3 oz,Lime Juice,0.5 oz,,,,,,,,,,,,,,,,,,,,,"1: Combine The Pink Pigeon, The Ginger Beer, And The Lime Juice, In A Tall Collins Glass Full Of Ice Cubes.",,,,,,,,,,,,,,,,,,,,,,
Pink Colada,Rum,N/A,Collins Glass,N/A,Pink Pigeon Rum,2 oz,Pineapple Juice,2 oz,Cream Of Coconut,1.5 oz,,,,,,,,,,,,,,,,,,,,,1: Pour The Ingredients Into A Cocktail Shaker Filled With Ice.,2: Shake Well.,3: Strain Into A Chilled Cocktail Or Collins Glass.,,,,,,,,,,,,,,,,,,,,
Pink Creole,Rum,N/A,Cocktail Glass,N/A,Light Rum,1.5 oz,Fresh Lime Juice,0.5 oz,Grenadine,0.25 oz,Half-And-Half,0.25 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,2: Add cherry.,,,,,,,,,,,,,,,,,,,,,
Pink Lady Cocktail,Gin,N/A,Cocktail Glass,N/A,Egg White,1 oz,Grenadine,1 oz,Sweet Cream,1 oz,Old Mr. Boston Dry Gin,1.5 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Pink Lemonade,Vodka,N/A,Collins Glass,N/A,Citrus-Flavored Vodka,1.5 oz,Triple Sec,0.25 oz,Fresh Lime Juice,0.25 oz,Fresh Lemon Juice,0.25 oz,Simple Syrup,0.25 oz,"Cranberry Juice, Lemon Wheel",2 oz,,,,,,,,,,,,,,,1: Shake with ice and strain into ice-filled Collins glass.,2: Garnish with lemon.,,,,,,,,,,,,,,,,,,,,,
Pink Paradise,Rum,N/A,Hurricane Glass,N/A,Coconut-Flavored Rum,1.5 oz,Amaretto,1 oz,Cranberry Juice,3 oz,Pineapple Juice,1.5 oz,,,,,,,,,,,,,,,,,,,1: Stir ingredients in ice-filled hurricane glass.,2: Garnish with pineapple and cherry.,,,,,,,,,,,,,,,,,,,,,
Pink Pussycat,Vodka,N/A,Highball Glass,N/A,Vodka,1.5 oz,Pineapple Or Grapefruit Juice,2 oz,Grenadine,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Pour ingredients into ice-filled highball glass and stir.,,,,,,,,,,,,,,,,,,,,,,
Pink Rose Fizz,Gin,N/A,Highball Glass,N/A,Juice Of A Lemon,0.5 oz,Powdered Sugar,1 oz,Egg White,1 oz,Light Cream,2 oz,Gin,2 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into highball glass over two ice cubes.,2: Fill with carbonated water and stir.,,,,,,,,,,,,,,,,,,,,,
Pink Squirrel Cocktail,N/A,N/A,Cocktail Glass,N/A,Mr. Boston Creme De Noyaux ,1 oz,Old Mr. Boston White Creme De Cacao,1 oz,Light Sweet Cream,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Pisco Punch,Pisco,"Luxardo Cherry, Pineapple Chunks",Wine Glass,N/A,Barsol Selecto Italia Pisco,2 oz,Pineapple Juice,2 oz,Fresh Lime Juice,1 oz,Simple Syrup,1 oz,,,,,,,,,,,,,,,,,,,1: Add All Liquid Ingredients Into A Cocktail Shaker With Ice.,2: Shake Well And Strain Into An Ice Filled White Wine Glass.,3: Garnish By Adding Pineapple Chunks And Luxardo Cherry.,,,,,,,,,,,,,,,,,,,,
Pisco Punch (Adaptation by The Commissary),Pisco,Nutmeg,Coupe Glass,"Bartender: Enrique Sanchez, Bar: The Commissary",Barsol Selecto Italia Pisco,2 oz,Lemon Juice,1 oz,Small Hand Foods Pineapple Gum Syrup,0.75 oz,Falernum,0.5 oz,,,,,,,,,,,,,,,,,,,1: Shake All Ingredients With Ice And Strain Into A Coupe Glass.,2: Nutmeg On Top For Garnish.,,,,,,,,,,,,,,,,,,,,,
Pisco Punch (Adaptation by The Comstock Saloon),Pisco,Lemon Peel,Flip Glass,"Bar: Comstock Saloon, Location: San Francisco",Barsol Selecto Italia Pisco,1.5 oz,Small Hand Foods Pineapple Gum Syrup,0.75 oz,Lemon Juice,0.75 oz,Kaffir Tincture,3 dash,,,,,,,,,,,,,,,,,,,"1: Shake, Strain Into A Chilled Flip Glass With One Cube.",2: Garnish With Lemon Peel.,,,,,,,,,,,,,,,,,,,,,
Pistachio Follies,Rum,Ground Pistachios,N/A,Bartender: Francesco Lafranconi,Luxardo Amaro Abano,1 oz,Aged Rum,1 oz,Fresh Cream(Not Whipped),1 oz,Pistachio Syrup,0.5 oz,,,,,,,,,,,,,,,,,,,1: Shake Ingredients With Ice Then Strain Into A Cocktail Glass Previously Swirled With Chocolate Syrup And Rimmed With Ground Pistachios.,,,,,,,,,,,,,,,,,,,,,,
Plain Vermouth Cocktail,Vermouth,N/A,Cocktail Glass,N/A,Dry Vermouth,1 oz,Sweet Vermouth,1 oz,Orange Bitters,1 oz,,,,,,,,,,,,,,,,,,,,,1: See Vermouth Cocktail on page 189.,,,,,,,,,,,,,,,,,,,,,,
Planter's Cocktail,Rum,N/A,Cocktail Glass,N/A,Jamaica Rum,1.5 oz,Fresh Lemon Juice,0.5 oz,Simple Syrup,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Planter's Punch No. 1,Rum,N/A,Collins Glass,N/A,Light Rum,2.5 oz,Fresh Lime Juice,2 oz,Simple Syrup,0.5 oz,Soda Water,2 oz,Grenadine,1 oz,,,,,,,,,,,,,,,,,"1: Stir rum, lime juice, syrup, and bitters in ice-filled Collins glass until glass is frosted.",2: Fill with soda water and top with grenadine.,3: Garnish with the fruit.,4: Serve with a straw.,,,,,,,,,,,,,,,,,,,
Planter's Punch No. 2,Rum,N/A,Collins Glass,N/A,Light Rum,2 oz,Orange Juice,2 oz,"Each Fresh Lime Juice, Jamaica Rum, Grenadine",1 oz,Pineapple Juice,0.5 oz,"Each Fresh Lemon Juice, Triple Sec",0.25 oz,,,,,,,,,,,,,,,,,1: Stir first five ingredients in ice-filled Collins glass until glass is frosted.,"2: Add Jamaican rum, stir, and top with triple sec and grenadine.",3: Garnish with fruit and mint.,4: Serve with a straw.,,,,,,,,,,,,,,,,,,,
Platonic Snuggle,Rum,"Orange Twist, Grated Nutmeg",Shorty Beer Glass,"Bartender: Natasha David, Bar: Nitecap",H By Hine,0.5 oz,El Dorado 12 Year Old Rum,0.5 oz,Hamilton Black Jamaican Pot Still Rum,0.5 oz,Cinnamon Syrup,0.5 oz,Heavy Cream,0.5 oz,Tsp St. Elizabeth Allspice Dram,1,Whole Egg,1,,,,,,,,,,,,,"1: Dry Shake, Strain, Top With Porter.",,,,,,,,,,,,,,,,,,,,,,
Playa Matalan (Mezcal Negroni),Mezcal,Orange Peel Zest,N/A,"Bartender: Dave Guest, Location: San Francisco",Mezcal,2 oz,Tempus Fugit Alessio Vermouth Chinato,0.75 oz,Tempus Fugit Gran Classico Bitter,0.75 oz,Tempus Fugit Abbott'S Bitters,2 dash,,,,,,,,,,,,,,,,,,,1: Stir Over 1 Large Rock.,2: Garnish With Zest Of An Orange Peel.,,,,,,,,,,,,,,,,,,,,,
Plaza Cocktail,Vermouth,N/A,Cocktail Glass,N/A,Sweet Vermouth,0.75 oz,Dry Vermouth,0.75 oz,Gin,0.75 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,2: Add a strip of pineapple.,,,,,,,,,,,,,,,,,,,,,
Poker Cocktail,Rum,N/A,Cocktail Glass,N/A,Light Rum,1.5 oz,Sweet Vermouth,1.5 oz,,,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Polish Penance,Vermouth,Lemon Twist,Etched Rocks Glass,"Bartender: Brian Means, Bar: Dirty Habit, Location: San Francisco",House-Made Slivovitz (Plum Brandy),1.5 oz,Chamomile Tea-Infused Noilly Prat Dry Vermouth,1 oz,King'S Ginger Liqueur,0.5 oz,Peychaud'S Bitters,3 dash,,,,,,,,,,,,,,,,,,,1: Stir And Strain.,2: Hoshizaki Ice.,,,,,,,,,,,,,,,,,,,,,
Pollyanna Cocktai,Gin,N/A,Cocktail Glass,N/A,Orange,3 oz,Pineapple ,3 oz,Gin,2 oz,Sweet Vermouth,0.5 oz,Grenadine,0.5 oz,,,,,,,,,,,,,,,,,1: Muddle ingredients.,2: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Polonaise,Brandy,N/A,Old-Fashioned Glass,N/A,Brandy,1.5 oz,Blackberry-Flavored Brandy,1 oz,Dry Sherry,0.5 oz,Lemon Juice,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into old-fashioned glass over ice cubes.,,,,,,,,,,,,,,,,,,,,,,
Pontchartrain Punch,Gin,N/A,N/A,"Bar: Jazz Kitchen, Location: New Orleans",Junipero Gin,1.25 oz,Fresh Lime Juice,0.5 oz,The Genuine Curacao Liqueur Blue,0.5 oz,Pages Elderflower Syrup,0.25 oz,,,,,,,,,,,,,,,,,,,1: Shake All Ingredients With Lots Of Ice.,2: Strain Into Serving Glass.,3: Top Off With A Splash Of Club Soda.,,,,,,,,,,,,,,,,,,,,
Pousse L'Amour,Brandy,N/A,Sherry Glass,N/A,Maraschino,1 oz,Egg Yolk,1 oz,Benedictine,0.5 oz,Brandy,0.5 oz,,,,,,,,,,,,,,,,,,,"1: Pour carefully, in order given, into 2-oz.",,,,,,,,,,,,,,,,,,,,,,
Prado,Tequila,N/A,Sour Glass,N/A,Tequila,1.5 oz,Lemon Juice,0.75 oz,Maraschino,1 oz,Egg White,0.5 oz,Grenadine,1 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into sour glass.,2: Add a slice of lime and a cherry.,,,,,,,,,,,,,,,,,,,,,
Praire Chicken,Gin,N/A,White-Wine Glass,N/A,Old Mr. Boston Dry Gin,1 oz,Whole Egg,1 oz,,,,,,,,,,,,,,,,,,,,,,,1: Open egg without breaking the yolk and put in wine glass.,2: Pour gin on top.,3: Add pepper and salt.,,,,,,,,,,,,,,,,,,,,
Praire Oyster Cocktail,Brandy,N/A,Old-Fashioned Glass,N/A,Old Mr. Boston Five Star Brandy,1 oz,Worcestershire Sauce,1 oz,Tomato Catsup,1 oz,Vinegar,1 oz,Pepper,1 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into old-fashioned glass over two ice cubes.,2: Place an egg yolk on top without breaking it.,3: Add dash of cayenne pepper.,,,,,,,,,,,,,,,,,,,,
Prairie Chicken,Gin,N/A,Red-Wine Glass,N/A,Gin,1 oz,Whole Egg,1 oz,,,,,,,,,,,,,,,,,,,,,,,1: Open egg without breaking the yolk and put in wine glass.,2: Pour gin on top.,3: Add pepper and salt.,,,,,,,,,,,,,,,,,,,,
Prairie Oyster,Brandy,N/A,Old-Fashioned Glass,N/A,Brandy,1 oz,Worcestershire Sauce,1 oz,Catsup,1 oz,Vinegar,1 oz,Pepper,1 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into old-fashioned glass over two ice cubes.,2: Place an egg yolk on top without breaking it.,3: Add a dash of cayenne pepper.,,,,,,,,,,,,,,,,,,,,
Prata Punch,Wine,"Strawberries, Lime Wheels",N/A,"Bartender: Lauren Sanchez, Location: Miami",Ypioca Brasilizar Cachaca Prata Reserva Especial,2 part,Lillet Rose,0.5 part,Guava Nectar,0.5 part,Fresh Lime Juice,0.25 part,Agave,0.25 part,,,,,,,,,,,,,,,,,"1: For Punch, Combine Ypioca, Lillet Rose, Guava Nectar, Lime And Agave.",2: Top With Rosa Regale Sparkling And Add Sliced Strawberries And Thin-Sliced Lime Wheels To Float As Garnish.,"3: For Individual Cocktails, Muddle 2-3 Strawberry Slices W/ Agave And Add Ypioca, Guava And Lillet.",4: Add Ice And Shake To Chill/Mix.,5: Strain Over Ice And Top With Champagne.,6: Garnish With Thin-Sliced Strawberry.,"7: Remember, This Is An Aperitif Style So It'S Meant To Be Refreshing But Not Necessarily Sweet.",,,,,,,,,,,,,,,,
Pretty In Pink,Vodka,N/A,Collins Glass,N/A,Vodka,2 oz,Cranberry Juice,0.5 oz,Creme De Noyaux,0.75 oz,Fresh Lemon Juice,0.75 oz,,,,,,,,,,,,,,,,,,,1: Shake first four ingredients and strain into ice-filled Collins glass.,2: Top with soda water.,,,,,,,,,,,,,,,,,,,,,
Prickly Pear Margarita,Tequila,Mint Sprig,Margarita Glass,"Bartender: Edgar & Joselino Solis, Bar: Matador, Location: San Francisco",Chinaco Blanco Tequila,2 oz,Lime Juice,1 oz,Prickly Pear Puree,0.5 oz,Agave,0.5 oz,,,,,,,,,,,,,,,,,,,1: Mint Salt On The Rim.,2: Garnish With Mint Sprig.,,,,,,,,,,,,,,,,,,,,,
Primo Carnera,Liqueur,Orange Skin,Martini Glass,N/A,Luxardo Sangue Morlacco Cherry Liqueur,45 ml,Luxardo Triplum (Triple Sec),15 ml,Luxardo Liquore St. Antonio,20 ml,,,,,,,,,,,,,,,,,,,,,"1: Shake And Strain Into A Martini Glass, Spray Some Absinthe On The Glass.",,,,,,,,,,,,,,,,,,,,,,
Prince of Humbugs,Bourbon,Orange Peel,Collins Glass,"Bartender: Morgan Schick , Bar: Jupiter Olympus , Location: San Francisco",Hirsch Small Batch Reserve Bourbon,2 oz,Luxardo Bitter,0.75 oz,Cold Blue Bottle Coffee,0.5 oz,Luxardo Anisette,0.25 oz,Peychaud'S Bitters,2 dash,,,,,,,,,,,,,,,,,1: Build In Collins Glass.,2: Top With Soda.,3: Orange Peel.,,,,,,,,,,,,,,,,,,,,
Prince's Smile Cocktail,Brandy,N/A,Cocktail Glass,N/A,Old Mr. Boston Apricot Flavored Brandy,0.5 oz,Apple Brandy,0.5 oz,Old Mr. Boston Dry Gin,1 oz,Lemon Juice,0.25 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Priority Cocktail,Vodka,N/A,Cocktail Glass,N/A,Vodka,2 oz,Calvados,0.5 oz,Coffee Liqueur,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,2: Add lemon twist.,,,,,,,,,,,,,,,,,,,,,
Profundo,Bourbon,Fresh Cherry,N/A,N/A,Hirsch Small Batch Reserve Bourbon,1.25 oz,Luxardo Sangue Morlacco Cherry Liqueur,1.25 oz,Chocolate Liqueur,0.5 oz,Heavy Cream Flavored With Hum Liqueur,1 oz,,,,,,,,,,,,,,,,,,,1: Pour The Liquor Ingredients Over Ice And Top With Half Inch (About One Centimeter) Layer Of Lightly Whipped Cream Shaken With Hum Liqueur.,,,,,,,,,,,,,,,,,,,,,,
Prohibition Punch,Rum,N/A,Brandy Snifter Glass,N/A,Dark Rum,1.5 oz,Grand Marnier,0.75 oz,Passion Fruit Juice,1 oz,Cranberry Juice,1 oz,Fresh Lemon Juice,0.25 oz,Champagne,2 oz,,,,,,,,,,,,,,,1: Shake first five ingredients with ice.,2: Strain into ice-filled snifter.,3: Top with Champagne.,,,,,,,,,,,,,,,,,,,,
Puerto Apple,Rum,N/A,Old-Fashioned Glass,N/A,Applejack,1.5 oz,Light Rum,0.75 oz,Lime Juice,1 oz,Orgeat Syrup,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into old-fashioned glass over ice cubes.,2: Decorate with a slice of lime.,,,,,,,,,,,,,,,,,,,,,
Puerto Rican Rum Daisy,Rum,N/A,Cocktail Glass,N/A,Dark Rum,1.5 oz,Orange Curacao,0.25 oz,Fresh Lemon Juice,0.75 oz,Each Orange Juice And Simple Syrup,0.5 oz,Angostura Bitters,1 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,2: Top with nutmeg and garnish with orange.,,,,,,,,,,,,,,,,,,,,,
Pumpkin & Pecan,H By Hine,Orange Peel,N/A,"Bartender: Collin Nicholas, Bar: Mourad, Location: San Francisco",H By Hine,2 oz,Toasted Pecan Syrup,0.5 oz,Lemon Juice,0.75 oz,Cynar,0.5 oz,Bsp Spiced Pumpkin Butter,1,Cinnamon Tincture,2 dash,,,,,,,,,,,,,,,1: Shake.,2: Double Strain.,3: King Cube.,,,,,,,,,,,,,,,,,,,,
Pumpkin and Spice,Vodka,Fresh Nutmeg,Rocks Glass,Bartender: Sean McClure,Oatmeal-Infused Karlsson'S Gold Vodka,1.5 oz,Ginger Beer,1.5 oz,Oloroso Sherry,0.5 oz,St. Elizabeth Allspice Dram,0.25 oz,Molasses,0.25 oz,Bsp Pumpkin Puree,1,Tincture Fee Brothers Black Walnut Bitters,1,,,,,,,,,,,,,"1: In A Boston Shaker, Combine All Liquid Ingredients Except The Ginger Beer.",2: Shake Vigorously For 25 Seconds And Strain Over Fresh Ice In A Rocks Glass.,3: Top With The Ginger Beer And Grate The Fresh Nutmeg Over The Top.,4: Oatmeal-Infused Karlsson'S Gold Vodka: -- 750 Ml Karlsson'S Gold Vodka -- 2 C Raw Oats  Using A Large Sauté Pan Toast The Oats For About 10 Minutes Constantly Watching Them And Making Sure They Don'T Burn.,5: Once Aromatic And Have A Touch Of Color Add The Oats To A Mason Jar With The Vodka And Let Infuse For 12-24 Hours.,6: Strain And Press Out All The Vodka From The Oats.,7: Return The Liquid To The Bottle And Store In A Cool Dark Place.,,,,,,,,,,,,,,,,
Purple Mask,Vodka,N/A,Cocktail Glass,N/A,Vodka,1 oz,Concord Grape Juice,1 oz,White Creme De Cacao,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Purple Passion,Vodka,N/A,Collins Glass,N/A,Vodka,1.5 oz,Grapefruit Juice,2 oz,Concord Grape Juice,2 oz,Simple Syrup,0.5 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice.,2: Pour with ice into Collins glass.,,,,,,,,,,,,,,,,,,,,,
Purple Ruby,Vodka,N/A,Cocktail Glass,N/A,Vodka,1.5 oz,Pomegranate Juice,1.5 oz,Grapefruit Juice,0.5 oz,Fresh Lime Juice,0.25 oz,Honey Syrup,0.25 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,2: Add grapefruit twist.,,,,,,,,,,,,,,,,,,,,,
Purple Twister,Vodka,N/A,Collins Glass,N/A,Old Mr. Boston Grape Vodka,2 oz,Cola,,,,,,,,,,,,,,,,,,,,,,,,1: Pour into collins glass over ice cubes.,"2: Fill with cola, add slice of lemon, and stir.",,,,,,,,,,,,,,,,,,,,,
Queen Elizabeth Cocktail,Gin,N/A,Cocktail Glass,N/A,Old Mr. Boston Dry Gin,1.5 oz,Dry Vermouth,0.5 oz,Benedictine,1.5 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Quetzalcoatl,Tequila,N/A,Cocktail Glass,N/A,Blanco Tequila,1 oz,Mezcal,0.75 oz,Creme De Peche,0.5 oz,Guava Puree,0.5 oz,Grapefruit Juice,0.5 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,2: Add grapefruit twist.,,,,,,,,,,,,,,,,,,,,,
Racquet Club Cocktail,Gin,N/A,Cocktail Glass,N/A,Gin,1.5 oz,Dry Vermouth,0.75 oz,Orange Bitters,1 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Radice Amara,Gin,Carrot Ribbon,Coupe Glass,"Bartender: Elyse Blechman, Location: Houston",Luxardo Bitter Bianco,1.5 oz,Reisetbauer Carrot Eau De Vie,1 oz,Genevieve Gin,0.75 oz,,,,,,,,,,,,,,,,,,,,,"1: Combine Ingredients In Mixing Glass, And Stir With Ice To Dilution.",2: Strain Into A Coupe Cocktail Glass.,3: Garnish With A Trimmed Carrot Ribbon.,,,,,,,,,,,,,,,,,,,,
Ramos Fizz,Gin,N/A,Highball Glass,N/A,Juice Of A Lemon,0.5 oz,Egg White,1 oz,Powdered Sugar,1 oz,Gin,2 oz,Light Cream,1 oz,Triple Sec,0.5 oz,,,,,,,,,,,,,,,1: Shake with ice and strain into highball glass over two ice cubes.,2: Fill with carbonated water and stir.,,,,,,,,,,,,,,,,,,,,,
